stock_id,股票代號,股票名稱,股價,今日漲跌%,投信持有%,投信今日%,投信今日(張),5買%,10買%,20買%,5買N天,10買N天,20買N天,5賣N天,10賣N天,20賣N天,外資持有%,外資今日%,Q1-Q3EPS,1月-11月EPS,去年EPS,三率三升,月增率%,年增率%,累積年增率%,月增率遞增,年增率遞增,累積年增率遞增,累積年增率>20%,累積年增率>50%,累積年增率>100%,上月營收創新高,股票名稱.1,股票代號.1,1月-12月EPS(預估),1月EPS(預估),去年EPS(預估),sar趨勢向上,2021Q4三率三升,1-2月EPS(預估),去年Q1-Q3EPS,去年Q1-Q4EPS,1-3月EPS(預估),1-4月EPS(預估),Q1 EPS,EPS遞增季數,EPS遞減季數,2022Q1三率三升,主力今日%,主力5買%,主力10買%,主力20買%,去年累計同期EPS,去年整年EPS,營收遞增月數,營收創新高,營收月增率%,營收年增率%,營收累計年增率%,月增率遞增月數,年增率遞增月數,累計年增率遞增月數,營業利益成長率遞增季數,營業毛利成長率遞增季數,稅前淨利成長率遞增季數,產業,本益比(同產業rank),股價淨值比(同產業rank),殖利率(同產業rank)
2022-01-13,1785,光洋科,49.45,-0.1,0.0,0.0,2.0,0.0,0.0,0.0,1,1,1,0,0,0,6.23,0.0,1.61,,1.69,,23.56,13.22,17.6,2個月遞增,2個月遞增,單月增加,,,,v,光洋科,1785,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,4958,臻鼎-KY,101.0,-0.49,0.11,0.0,12.0,0.0,-0.0,-0.02,1,1,1,2,6,15,61.48,0.03,5.06,,8.9,,7.29,9.1,18.09,單月增加,2個月遞增,單月增加,,,,,臻鼎-KY,4958,9.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,4105,東洋,68.2,0.29,1.44,0.0,1.0,0.0,-0.12,-0.28,1,1,2,1,5,9,12.74,0.01,1.96,,3.72,,9.78,26.82,7.44,2個月遞增,單月增加,3個月遞增,,,,,東洋,4105,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,3443,創意,498.0,-1.39,4.96,0.0,1.0,-1.14,-1.48,-1.7,1,1,2,4,8,16,38.87,-0.08,7.05,,6.34,,-9.07,-23.38,11.33,,,單月增加,,,,,創意,3443,11.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,3211,順達,105.5,2.93,0.17,0.0,1.0,0.0,0.0,-0.0,1,1,2,0,0,1,10.36,0.01,4.68,,7.02,,-4.62,13.59,7.34,,單月增加,3個月遞增,,,,,順達,3211,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,3045,台灣大,100.5,0.0,1.12,0.0,111.0,-0.01,-0.04,-0.05,1,1,4,4,9,16,15.22,0.01,3.02,,4.01,,-24.57,8.51,17.49,,單月增加,單月增加,,,,,台灣大,3045,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,4123,晟德,59.1,0.68,0.01,0.0,2.0,0.0,0.0,0.0,1,1,1,0,0,0,6.33,0.05,5.01,,8.5,,-5.38,-29.67,-30.18,,,3個月遞增,,,,,晟德,4123,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,4739,康普,131.0,2.75,0.24,0.05,50.0,-0.49,-0.6,-1.08,1,1,1,2,3,8,0.0,0.0,3.56,,1.73,,-0.74,37.89,38.85,,單月增加,單月增加,連續3個月>20%,,,,康普,4739,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,6472,保瑞,184.0,7.6,0.81,0.05,31.0,0.05,0.05,0.05,1,1,1,0,0,0,0.0,0.0,9.01,,10.76,,-3.7,1.97,174.08,3個月遞增,單月增加,單月增加,連續3個月>20%,,連續3個月>100%,,保瑞,6472,10.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,2393,億光,51.8,-3.0,0.06,0.03,148.0,-0.02,-0.02,-0.02,1,1,2,1,1,1,0.0,0.0,3.78,,2.79,,-6.09,-6.73,15.85,,,單月增加,,,,,億光,2393,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,5220,萬達光電,33.8,0.0,1.42,0.03,12.0,0.03,0.03,0.03,1,1,1,0,0,0,0.0,0.0,2.84,,4.71,,5.54,4.1,-14.6,單月增加,3個月遞增,3個月遞增,,,,,萬達光電,5220,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,8478,東哥遊艇,131.0,0.38,0.42,0.03,25.0,0.03,0.03,0.11,1,1,4,0,0,0,0.0,0.0,6.6,,1.04,,43.95,-47.88,7.79,3個月遞增,,單月增加,,,,,東哥遊艇,8478,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,6533,晶心科,423.0,-1.28,0.35,0.02,10.0,-0.52,-0.53,-0.36,1,1,5,3,4,4,0.0,0.0,3.05,,0.82,,149.43,8.25,41.09,2個月遞增,2個月遞增,單月增加,連續3個月>20%,,,v,晶心科,6533,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,2027,大成鋼,44.25,-1.99,0.23,0.01,187.0,0.01,-0.01,-0.05,1,1,4,1,3,8,0.0,0.0,4.18,,-0.44,,-13.03,21.77,63.69,,單月增加,單月增加,連續3個月>20%,,,,大成鋼,2027,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,2915,潤泰全,100.0,-2.44,0.01,0.01,48.0,0.01,0.01,-4.28,1,1,1,2,3,12,0.0,0.0,20.4,,14.85,,8.6,,-1.48,3個月遞增,,3個月遞增,,,,,潤泰全,2915,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,2383,台光電,267.0,1.91,4.21,0.0,12.0,-0.43,-0.51,-0.81,1,1,1,4,8,18,0.0,0.0,12.03,,11.33,,-3.56,31.49,41.56,,單月增加,單月增加,連續3個月>20%,,,,台光電,2383,17.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,2388,威盛,72.1,-2.17,0.01,0.0,2.0,0.0,-0.0,0.0,1,1,3,1,2,2,0.0,0.0,1.69,,9.57,,16.41,13.01,7.84,3個月遞增,2個月遞增,2個月遞增,,,,v,威盛,2388,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,5903,全家,248.5,0.2,0.02,0.0,6.0,0.0,0.0,-0.0,1,1,1,0,0,2,0.0,0.0,4.28,,9.54,,3.42,-0.05,-1.99,2個月遞增,2個月遞增,3個月遞增,,,,,全家,5903,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-17,3217,優群,125.0,3.31,7.28,0.09,83.0,-0.24,-1.04,1.08,1,1,6,1,5,8,7.8,-0.13,5.36,,7.2,v,-12.04,12.65,16.08,,單月增加,單月增加,,,,,優群,3217,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-17,5478,智冠,93.2,1.86,0.04,0.04,50.0,0.04,0.04,0.03,1,1,1,0,0,1,30.32,-0.03,5.24,,7.76,,8.8,-16.24,-9.02,2個月遞增,2個月遞增,,,,,,智冠,5478,6.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-17,3152,璟德,325.5,1.72,0.93,0.01,4.0,0.01,-0.02,0.03,1,1,5,0,1,1,18.64,0.04,13.29,,12.02,v,-14.62,-37.33,29.81,,,單月增加,連續3個月>20%,,,,璟德,3152,16.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-17,1304,台聚,28.9,0.52,0.06,0.0,15.0,-0.03,-0.05,-0.05,1,1,1,2,3,4,36.86,0.07,3.36,,2.25,v,-15.33,-0.55,42.94,,,單月增加,連續3個月>20%,,,,台聚,1304,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
